Center_Dim_0,Center_Dim_1,Center_Dim_2,Center_Dim_3,Center_Dim_4,Center_Dim_5,Sigma,Weight_y,Weight_l,Weight_r
81.42857142857143,6.321428571428571,0.4285714285714285,20.0,37.14285714285714,3.2857142857142856,32.08917322495863,987.7514938291682,211.5929323670545,-11.24819910399907
67.99999999999999,6.006,0.392,29.8,26.800000000000004,3.16,32.08917322495863,-119.89842661388357,18.338254321963085,356.63626141575764
90.41666666666667,5.845833333333333,0.15833333333333338,30.416666666666668,26.125000000000004,3.2083333333333335,32.08917322495863,935.7950204870217,58.529951241992144,-17.24658563190379
99.0909090909091,6.168181818181818,0.2545454545454545,32.72727272727273,45.72727272727273,3.8181818181818183,32.08917322495863,707.8943678050156,276.85129063621923,522.1509151671269
118.57142857142856,5.914285714285715,0.22857142857142856,27.857142857142858,48.285714285714285,3.142857142857143,32.08917322495863,-231.56069437455952,-224.09013980378114,-467.73190809105637
150.0,6.8,0.6,30.0,75.0,5.0,32.08917322495863,1525.9594664121,513.7281404709453,339.13293896199036
80.0,5.61,0.25333333333333335,31.833333333333336,27.6,3.1333333333333337,32.08917322495863,-1669.4826552554612,-700.4555108678277,-1179.8459054898658
100.43478260869564,6.067391304347826,0.2,29.347826086956523,33.30434782608696,3.6086956521739135,32.08917322495863,-527.2271785143694,135.60908804701234,374.84885859720987
80.55555555555556,6.127777777777778,0.37777777777777777,20.000000000000007,22.833333333333336,3.6666666666666665,32.08917322495863,-29.91795862090689,199.94188841881657,344.5238099070791
70.0,5.9,0.0,60.0,27.0,3.0,32.08917322495863,555.8279271809768,223.27843784621285,203.4736997421596
