Dataset,Model,EI_DU
Example 2,M,0.6121894356387819
Example 2,Epanechnikov,0.7322626505129091
Example 2,Gaussion,0.7464676302738419
Example 3,M,0.467347095335243
Example 3,M_z,0.7955688255715478
Example 4,M,0.40935650048453376
Example 4,MM,0.8902215724884746
Example 4,RBF,0.49953668647766275
