y_p,ly_p,ry_p
3.9,0.672,0.672
3.18,0.522,0.522
3.18,0.522,0.522
2.46,0.372,0.372
2.82,0.447,0.447
3.54,0.597,0.597
2.1,0.297,0.297
2.82,0.447,0.447
