y_p,ly_p,ry_p
13.97,3.42,3.42
17.77,3.59,3.59
21.57,3.77,3.77
25.37,3.94,3.94
29.17,4.12,4.12
32.98,4.29,4.29
36.78,4.46,4.46
40.58,4.64,4.64
44.38,4.81,4.81
48.18,4.99,4.99
55.78,5.33,5.33
59.58,5.51,5.51
63.38,5.68,5.68
67.18,5.86,5.86
70.98,6.03,6.03
74.79,6.2,6.2
78.59,6.38,6.38
