y_p,ly_p,ry_p
342.25530165752394,126.88952506215122,81.7611613967008
472.7053532713148,159.5942831917896,99.1992807662736
348.42462353073404,116.19297676359184,80.7791431812621
810.7120144513934,251.8930213189116,127.99176479321144
579.8903314738703,191.82302623315056,119.93292544142588
699.3191004707223,225.5393194765311,143.41807414360363
218.86554997422155,93.86671452252887,59.32681042822219
674.6333652614239,214.28540155188654,146.1972490709265
206.20051738088188,85.61066822038748,43.2743436545324
535.279497610087,181.58505179212594,110.13941005261148
325.25591152887046,113.95575103229675,66.50696643355917
343.64282500013303,132.26322154330762,80.74826665591405
874.2822590388399,263.8628180683554,173.6463271016094
210.204605592429,80.28073152130204,52.0942878530434
391.5099257322179,134.6496834455864,84.98507850682643
209.12022365460265,79.94908588351518,51.78137654484868
603.7568619756512,200.49331790061936,124.7155751512023
245.46039547130692,101.06930123883728,63.839537467406956
218.30159991807398,93.13261243420135,57.93909945135488
728.2436702050552,232.68914843046483,148.4027955679499
392.50714396083504,132.58545411344426,82.63675024162382
364.9280009416186,133.72542559997584,76.22860643178899
286.71225006255446,112.2888208746935,71.56584406939191
668.344997876134,217.1292409030076,125.6129177443521
427.2254940450282,143.2302221034891,91.33478499329226
791.0786847379791,248.18914860794453,160.11573413183686
1119.5101960705895,338.26167607086785,177.20915117030708
365.175613753572,131.9507313222224,76.44177413477695
620.2657690729834,204.62346642366217,127.29193164864188
395.2376776646434,140.192657702907,82.46706433092612
653.2965495115706,213.44545176088073,134.06751631575588
356.136643650863,130.2976385522914,83.95197176553125
319.42416407813437,118.97977660229958,66.87093410883608
570.3541112723568,191.40129306497735,117.77138014210738
551.1719558510831,183.0013453338537,117.9637442790737
269.44626995487056,111.57675774019054,67.3266408175731
620.4747487341556,204.71903494013435,127.42935776364192
292.7649598533646,107.21088548314935,62.02429342499107
181.30929058220528,83.1891179501313,52.293171783349976
319.16072031375484,118.85027098491935,66.65929817049295
352.329026651455,121.51631765038837,72.94520553400821
279.6139179737158,103.81750466411535,59.759997435535695
742.0401006134787,236.19524521341978,151.11944917481685
612.4106029416835,200.88391290453347,127.36165222885239
156.6298872431823,64.7433223600728,57.63186267437351
997.8331803212011,303.8617454576073,161.34672671841193
233.53997655959813,86.35209590929622,56.44601615157211
500.52796541124235,172.0263845187982,103.18164195764427
245.87406501977242,101.10227574346231,63.812300780426085
652.9856075017206,213.27859631410405,133.77011213125058
383.87502562926966,137.58231932449735,89.57189966710064
475.58925541545426,162.621680484132,100.75033416247123
245.26488847284347,100.81665078411021,63.359986262881534
