x,y,ly,ry
1,10.39,4,4
2,15.93,4.24,4.24
3,21.08,4.21,4.21
4,25.82,4.11,4.11
5,30.22,4.03,4.03
6,34.4,3.99,3.99
7,38.43,4.02,4.02
8,42.37,4.18,4.18
9,46.25,4.46,4.46
10,50.08,4.76,4.76
12,53.86,5.04,5.04
13,57.71,5.25,5.25
14,61.72,5.45,5.45
15,66.01,5.73,5.73
16,70.56,6.16,6.16
17,75.34,6.79,6.79
18,80.21,7.6,7.6
